"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP HOLL","Cla","LLL05-14","16","W","G",NA,NA,2017,1,7,15,2,NA,1343.7,12.6,NA,42.7,20.96,63.66,"7*LLL05-14*LP HOLL*Cla*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","LLL05-14","16","W","G",NA,NA,2017,2,20,17,3,NA,1205.2,13.6,NA,43.22,21.49,64.71,"20*LLL05-14*LP HOLL*Cla*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","LLL05-14","16","W","G",NA,NA,2017,3,34,17,2,NA,1157.9,NA,NA,42.67,21.54,64.21,"34*LLL05-14*LP HOLL*Cla*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1254","2","W","G",NA,NA,2017,1,2,11,2,NA,1429.2,14.8,NA,40.3,20.75,61.05,"2*N16-1254*LP HOLL*Cla*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1254","2","W","G","Harv LB",NA,2017,2,29,11,2,NA,1235,13.2,NA,41.43,20.26,61.69,"29*N16-1254*LP HOLL*Cla*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1254","2","W","G",NA,NA,2017,3,33,11,1.5,NA,864,NA,NA,41.75,20.53,62.28,"33*N16-1254*LP HOLL*Cla*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1258","3","S","G",NA,NA,2017,1,12,8,1.5,NA,1032.9,13.1,NA,41.07,22.02,63.09,"12*N16-1258*LP HOLL*Cla*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1258","3","S","G",NA,NA,2017,2,26,9,1.5,NA,1001.7,13.3,NA,40.97,21.97,62.94,"26*N16-1258*LP HOLL*Cla*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1258","3","S","G",NA,NA,2017,3,35,9,1.5,NA,1026.8,NA,NA,40.8,21.56,62.36,"35*N16-1258*LP HOLL*Cla*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1286","4","W","G",NA,NA,2017,1,11,25,2.5,NA,1652.8,13.3,NA,42.99,21.71,64.7,"11*N16-1286*LP HOLL*Cla*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1286","4","W","G",NA,NA,2017,2,31,23,2,NA,1020,12,NA,43.71,21.64,65.35,"31*N16-1286*LP HOLL*Cla*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1286","4","W","G","Harv LB",NA,2017,3,45,25,3,NA,1467.7,NA,NA,42.09,22.45,64.54,"45*N16-1286*LP HOLL*Cla*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1287","5","S","G",NA,NA,2017,1,4,25,3,NA,1454.6,12.4,NA,41.78,21.66,63.44,"4*N16-1287*LP HOLL*Cla*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1287","5","S","G",NA,NA,2017,2,22,22,3,NA,1167.2,13,NA,40.68,22.38,63.06,"22*N16-1287*LP HOLL*Cla*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1287","5","S","G","4' Gap CR",NA,2017,3,48,17,1.5,NA,839.8,NA,NA,41.79,22.02,63.81,"48*N16-1287*LP HOLL*Cla*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1288","6","S","G",NA,NA,2017,1,3,27,3,NA,1548.5,12.5,NA,42.17,21.99,64.16,"3*N16-1288*LP HOLL*Cla*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1288","6","S","G",NA,NA,2017,2,27,20,2,NA,1247,12.7,NA,41.32,22.6,63.92,"27*N16-1288*LP HOLL*Cla*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1288","6","S","G",NA,NA,2017,3,37,22,3.5,NA,1154.1,NA,NA,43,21.68,64.68,"37*N16-1288*LP HOLL*Cla*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1289","7","S","G",NA,NA,2017,1,5,25,3,NA,1425.6,13,NA,42.55,21.53,64.08,"5*N16-1289*LP HOLL*Cla*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1289","7","S","G",NA,NA,2017,2,17,20,2.5,NA,1025.5,12.8,NA,41.86,22.74,64.6,"17*N16-1289*LP HOLL*Cla*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1289","7","S","G",NA,NA,2017,3,39,19,2.5,NA,1105.3,NA,NA,42.78,21.69,64.47,"39*N16-1289*LP HOLL*Cla*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1292","8","W","G",NA,NA,2017,1,1,22,3,NA,1300.1,11.6,NA,41.67,22.71,64.38,"1*N16-1292*LP HOLL*Cla*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1292","8","W","G",NA,NA,2017,2,28,14,2,NA,895.6,10.7,NA,46.69,20.12,66.81,"28*N16-1292*LP HOLL*Cla*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1292","8","W","G",NA,NA,2017,3,44,22,3,NA,1434.5,NA,NA,41.16,22.49,63.65,"44*N16-1292*LP HOLL*Cla*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1294","9","P","T",NA,NA,2017,1,10,12,2,NA,1327.1,17.9,NA,38.72,23.82,62.54,"10*N16-1294*LP HOLL*Cla*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1294","9","P","T",NA,NA,2017,2,30,14,2,NA,1083.7,19.6,NA,39.22,23.65,62.87,"30*N16-1294*LP HOLL*Cla*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1294","9","P","T",NA,NA,2017,3,43,13,1.5,NA,1328.8,NA,NA,40.38,23.95,64.33,"43*N16-1294*LP HOLL*Cla*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
